x,y,z,fx,fy,fz,time
0.170187753612,0.0078280643701,-0.0413507002308,[ 0.],[ 0.],[ 0.],3.345
0.170261553196,0.00956364815254,-0.0413078818906,[ 0.],[ 0.],[ 0.],3.366
0.170318370907,0.0113179759319,-0.0412655802501,[ 0.],[ 0.],[ 0.],3.386
0.170356573474,0.0130913585053,-0.0412240607237,[ 0.],[ 0.],[ 0.],3.405
0.170377563029,0.0148834787619,-0.041183430798,[ 0.],[ 0.],[ 0.],3.425
0.170378834213,0.0166938652824,-0.0411436668639,[ 0.],[ 0.],[ 0.],3.445
0.170360888231,0.0185221109693,-0.0411045881446,[ 0.],[ 0.],[ 0.],3.464
0.170323116801,0.0203673840012,-0.0410667453932,[ 0.],[ 0.],[ 0.],3.486
0.170264260194,0.0222282071939,-0.0410297158945,[ 0.],[ 0.],[ 0.],3.507
0.170184973837,0.0241029996453,-0.0409936479119,[ 0.00487098],[-0.02438311],[-0.00835632],3.526
0.17009057694,0.0259309493896,-0.040956422268,[ 0.01131015],[-0.05973876],[-0.01910778],3.545
0.170011042063,0.0273190434742,-0.0409145799102,[ 0.01592909],[-0.08722612],[-0.02660362],3.566
0.169983779238,0.0278645762209,-0.0408674124084,[ 0.01769359],[-0.09828604],[-0.02954121],3.585
0.169988605771,0.0279036032244,-0.0408206815741,[ 0.01783236],[-0.09929117],[-0.02995275],3.604
0.169994157009,0.0279444681618,-0.040773742751,[ 0.01797296],[-0.10033174],[-0.0303756],3.626
0.169999754001,0.0279851644454,-0.0407266329985,[ 0.01811227],[-0.10136997],[-0.03080043],3.644
0.170005340764,0.0280260270448,-0.0406793554021,[ 0.01825147],[-0.10241262],[-0.03122891],3.666
0.170009960356,0.0280667231815,-0.040631963595,[ 0.01839357],[-0.10345555],[-0.03166],3.687
0.17001554151,0.0281075831876,-0.0405845175072,[ 0.01853141],[-0.10449945],[-0.03209334],3.705
0.170021152442,0.028148609472,-0.0405367336028,[ 0.01866913],[-0.10554855],[-0.03253117],3.725
0.17002673991,0.0281896345618,-0.0404889503438,[ 0.01880617],[-0.10659789],[-0.03297104],3.746
0.170032344357,0.0282306584545,-0.0404409977101,[ 0.01894251],[-0.10764825],[-0.03341376],3.765
0.170036952995,0.0282716820986,-0.0403929338799,[ 0.01908248],[-0.10870215],[-0.03385993],3.788
0.170042562722,0.0283128707773,-0.0403446444053,[ 0.01921804],[-0.10975791],[-0.03430924],3.805
0.170048188918,0.0283540582397,-0.0402961855647,[ 0.01935291],[-0.11081469],[-0.03476143],3.824
0.170053762843,0.0283954119053,-0.0402477290608,[ 0.01948767],[-0.11187503],[-0.0352165],3.846
0.170059393164,0.0284367643377,-0.0401989331555,[ 0.01962173],[-0.11293721],[-0.03567533],3.864
0.170064026876,0.0284781152424,-0.0401500275327,[ 0.01975955],[-0.11400282],[-0.03613763],3.885
0.170069575095,0.028520134564,-0.0401008999442,[ 0.01989456],[-0.11508043],[-0.03660569],3.905
0.170075121675,0.0285624873893,-0.0400514363946,[ 0.02002999],[-0.11616657],[-0.03707927],3.926
0.170080654622,0.0286050062882,-0.0400018053031,[ 0.02016528],[-0.11725706],[-0.03755667],3.945
0.170086202259,0.0286475238548,-0.0399520049815,[ 0.02029986],[-0.11834856],[-0.03803704],3.966
